Country (or dependent territory),1950,1955,%,1960,%,1965,%,1970,%,1975,%,1980,%
 Senegal,"2,654","2,927",1.98,"3,270",2.24,"3,744",2.75,"4,318",2.89,"4,990",2.93,"5,612",2.38
 Serbia,"5,957","6,314",1.17,"6,659",1.07,"6,959",0.88,"7,249",0.82,"7,432",0.5,"7,588",0.42
 Seychelles,33,36,1.74,42,3.04,48,2.78,55,2.52,60,1.96,64,1.41
 Sierra Leone,"2,088","2,233",1.36,"2,397",1.43,"2,582",1.5,"2,790",1.56,"3,031",1.67,"3,336",1.93
 Singapore,"1,023","1,306",5.02,"1,647",4.75,"1,887",2.76,"2,075",1.91,"2,263",1.75,"2,414",1.3
 Sint Maarten,3,3,1.73,3,1.72,5,8.64,7,9.63,11,9.89,13,3.64
 Slovakia,"3,464","3,727",1.48,"3,995",1.4,"4,370",1.81,"4,524",0.69,"4,730",0.89,"4,966",0.98
 Slovenia,"1,468","1,518",0.67,"1,558",0.53,"1,621",0.79,"1,676",0.68,"1,723",0.55,"1,834",1.26
 Solomon Islands,107,115,1.43,127,1.99,144,2.5,164,2.65,194,3.44,231,3.64
 Somalia,"2,438","2,674",1.86,"2,956",2.03,"3,283",2.12,"3,667",2.24,"4,128",2.4,"5,794",7.02
 South Africa,"13,596","15,369",2.48,"17,417",2.53,"19,899",2.7,"22,740",2.71,"25,816",2.57,"29,252",2.53
 South Korea,"20,846","21,552",0.67,"24,785",2.83,"28,706",2.98,"32,242",2.35,"35,282",1.82,"38,125",1.56
 South Sudan,"2,707","2,757",0.37,"2,809",0.37,"2,862",0.37,"2,915",0.37,"3,396",3.1,"4,668",6.57
 Spain,"28,063","29,319",0.88,"30,642",0.89,"32,085",0.92,"33,877",1.09,"35,564",0.98,"37,489",1.06
 Sri Lanka,"7,534","8,694",2.91,"9,914",2.66,"11,261",2.58,"12,619",2.3,"13,780",1.78,"15,056",1.79
 Sudan,"6,468","7,391",2.71,"8,447",2.71,"9,653",2.71,"11,031",2.71,"12,708",2.87,"14,784",3.07
 Suriname,209,241,2.93,285,3.41,337,3.42,373,2.06,363,-0.52,355,-0.48
 Sweden,"7,015","7,263",0.7,"7,481",0.59,"7,734",0.67,"8,043",0.79,"8,193",0.37,"8,311",0.29
 Switzerland,"4,695","4,981",1.19,"5,363",1.49,"5,944",2.08,"6,268",1.07,"6,404",0.43,"6,386",-0.06
 Syria,"3,496","3,938",2.41,"4,531",2.84,"5,323",3.27,"6,253",3.27,"7,398",3.42,"8,740",3.39
 Taiwan,"7,982","9,486",3.51,"11,210",3.39,"12,978",2.97,"14,599",2.38,"16,123",2.01,"17,849",2.06
 Tajikistan,"1,531","1,781",3.08,"2,081",3.16,"2,511",3.83,"2,939",3.2,"3,449",3.25,"3,967",2.84
 Tanzania,"7,935","8,971",2.48,"10,260",2.72,"11,871",2.96,"13,807",3.07,"16,148",3.18,"18,654",2.93
 Thailand,"20,042","23,452",3.19,"27,513",3.25,"32,062",3.11,"37,091",2.96,"42,273",2.65,"47,026",2.15
 Timor-Leste,436,473,1.63,509,1.51,554,1.69,598,1.55,677,2.51,558,-3.81
 Togo,"1,172","1,299",2.07,"1,456",2.32,"1,648",2.51,"1,965",3.57,"2,267",2.91,"2,626",2.98
 Tonga,46,55,3.55,64,3.19,75,3.08,84,2.3,90,1.43,92,0.58
 Trinidad and Tobago,633,721,2.66,842,3.14,940,2.23,956,0.33,"1,007",1.06,"1,091",1.61
 Tunisia,"3,518","3,847",1.8,"4,150",1.53,"4,566",1.93,"5,099",2.23,"5,704",2.27,"6,444",2.47
 Turkey,"21,122","24,145",2.71,"28,218",3.17,"31,951",2.52,"35,759",2.28,"40,530",2.54,"45,048",2.14
 Turkmenistan,"1,205","1,348",2.28,"1,585",3.29,"1,883",3.5,"2,182",2.99,"2,524",2.96,"2,876",2.64
 Turks and Caicos Islands,6,6,0.49,6,2.1,6,0.15,6,-0.53,7,2.86,8,2.91
 Tuvalu,5,5,1.19,6,1.19,6,1.14,6,0.86,7,1.33,8,3.72
 Uganda,"5,522","6,318",2.73,"7,262",2.83,"8,390",2.93,"9,716",2.98,"10,761",2.06,"12,020",2.24
 Ukraine,"36,775","39,369",1.37,"42,645",1.61,"45,235",1.19,"47,236",0.87,"48,974",0.73,"50,047",0.43
 United Arab Emirates,72,83,2.95,104,4.49,144,6.89,250,11.64,523,15.95,"1,001",13.87
 United Kingdom,"50,128","50,947",0.32,"52,373",0.55,"54,351",0.74,"55,633",0.47,"56,216",0.21,"56,315",0.04
 United States,"151,869","165,070",1.68,"179,980",1.74,"193,527",1.46,"203,985",1.06,"215,466",1.1,"227,225",1.07
 United States Virgin Islands,27,28,0.52,33,3.32,44,6,64,7.85,95,8.28,100,1.07
 Uruguay,"2,195","2,354",1.41,"2,531",1.47,"2,694",1.25,"2,824",0.95,"2,844",0.14,"2,931",0.6
 Uzbekistan,"6,293","7,233",2.82,"8,532",3.36,"10,206",3.65,"11,941",3.19,"13,988",3.22,"15,994",2.72
 Vanuatu,53,59,2.43,67,2.43,75,2.34,86,2.85,100,3.14,117,3.22
 Venezuela,"5,010","6,171",4.26,"7,557",4.14,"9,068",3.71,"10,759",3.48,"12,675",3.33,"14,768",3.1
 Vietnam,"25,349","27,739",1.82,"31,657",2.68,"37,259",3.31,"42,577",2.7,"48,076",2.46,"53,716",2.24
 Wallis and Futuna,7,8,1.26,8,1.26,9,1.02,9,0.95,9,0.23,11,4.18
Western Sahara,10,16,11.87,28,11.87,50,12.33,90,12.38,73,-4.16,125,11.47
 Yemen,"4,778","5,266",1.97,"5,872",2.2,"6,511",2.09,"7,099",1.74,"7,935",2.25,"9,133",2.85
 Zambia,"2,554","2,870",2.36,"3,255",2.55,"3,695",2.57,"4,241",2.8,"4,849",2.71,"5,541",2.71
 Zimbabwe,"2,854","3,410",3.62,"4,011",3.31,"4,686",3.16,"5,515",3.31,"6,342",2.83,"7,170",2.49
World,"2,557,629","2,782,099",1.7,"3,043,002",1.81,"3,350,426",1.94,"3,712,698",2.07,"4,089,084",1.95,"4,451,363",1.71
